account balance, अकाउंट बैलेंस,, No mistake
Vera bill details dikha do, मेरा बिल डिटेल दिखा दो,, V instead of B
account balance, अकाउंट बैलेंस,, No mistake
he turned sharply and faced direction across the table, ही टर्न्ड शेप्ली एंड फेस ग्रेसन ऐक्रॉस द टेबल,,  Both model prediction and ground truth wrong
data balance, के का वाले,, Random Prediction
shoot DA order song, शुड थाट द सोंग,, Incorrect Single Word Prediction
how to solve activation deactivation problem, हाउ दो सो एक्टीवेशन डिक्टीवेशन प्रॉब्लम,, Doesnt pick up English
data balance, डाटा बैलेंस,, No mistake
aap jhooth bolate Hain, आप ड्यूट फूलते हैं,, Incorrect Single Word Prediction
balance, पर का वि,, Doesnt pick up English
new plans, नू प्लान्स,, No mistake
data balance, डाटा बैलेंस,, No mistake
how to solve activation deactivation problem, हाउ दो सो एक्टीवेशन डिक्टीवेशन प्रॉब्लम,, Incorrect Prediction of repetition of words
Mujhe loan chahie 10 rupaye ka, मुझे लोन चाहिए दसरे का,, Incorrect Prediction of repetition of words
Star Plus, स्टार्सलेस,, Incorrect Single Word Prediction
balance batao balance batao, बैलेंस बताओ,, No mistake
Star Plus, स्टार्सलेस,, Doesnt pick up English
Yahoo, चाह,,  Both model prediction and ground truth wrong
network problem, नेवर दो,, Random Prediction
data balance, डाटा बैलेंस,, No mistake
Shantanu Sar pata nahin kahan gaye the, संत सर पता नही कहा गया था,, Incorrect Prediction of repetition of words
ISD charges kya hai, आईएसडी आदेश क्या है,, Incorrect Single Word Prediction
yeah, या,, No mistake
account balance, अकाउंट बैलेंस,, No mistake
outgoing calls Nahin ja rahe hain, आउटगोइंग कॉल्स नहीं जा रहा है,, Similar Sounding Word Predicted
network kharab hai, नेटवर्क खराब है,, No mistake
bill details bata do, बिल डी डिटेल बता दो,, Extra Words Predicted
mobile security solutions, मोबाइल स्क्रेट स्ल्यूशन्स,, Incorrect Single Word Prediction
abhi chahie mere ko emergency hai, ए बीज मेडिकल इमेजेन्स ह,, Random Prediction
plants, प्लान्स,, Wrong Ground Truth
Alexander voice, एल जन वास,, Wrong Ground Truth
message aaya tha ki is app ko sign up karne ke bad 5 GB data 7 Dinon ke liye Milega Milani per, मैसेज आया था कि इस आपको साइन करने के बाद 5 जीवी डाटा सा दिनों के लिए नीब,, Incorrect Prediction of repetition of words
roaming packs ke bare mein batao, रोमिंग पैक्स के बारे में बताओ,, Incorrect Single Word Prediction
ISC activate kar do, आई डी एक्टिवेट कर दो,,  Both model prediction and ground truth wrong
Mujhe muft ka net chahie, मुझे मुफ्त का नेट चाहिए,, No mistake
proud, फ्ला,,  Both model prediction and ground truth wrong
recharge, रिचार्ज,, No mistake
roaming pack ke bare mein thodi Jankari chahie the, रोमिंग पैक्स के बारे में थोड़ी जानकारी चाहिए थी,, No mistake
recharge, रिचार्ज,, No mistake
delete account  London, डिलीट अकाउंट,, Wrong Ground Truth
kya mere ko 5 GB Mili Hai, कैमरे को पांजी भी मिली है,, Random Prediction
how to active my caller tune, हाउ दो एक्ट माइ कॉलरट,, Doesnt pick up English
chakka, को,, Random Prediction
make my own plan, मेइक माइ अकाउंट प्लान,, Incorrect Single Word Prediction
Mujhe Airtel wallet banana hai, मुझे एयरटेल बोनेट लाना है,, Incorrect Prediction of repetition of words
recharge, रिचार्ज,, No mistake
Mujhe data packs kharidna hai, मुझे डेटा पैक्स खरीदना है,, No mistake
yes, येस,, No mistake
hotstar live, वाट्स स्टार लाइव,, Incorrect Single Word Prediction
data balance, थाट ए बैलेंस,, Random Prediction
BSNL recharge, डीएस ने रिचार्ज है,, Incorrect Prediction of repetition of words
Airtel app download karne per, एयरटेल है पर डाउनलोड करने पर,, Incorrect Prediction of repetition of words
how many cost today record, आइ मेइक्स टुडे रिकॉर्ड,, Doesnt pick up English
hello, हैलो,, No mistake
DND activate kaise ho, डी एन डी डी एक्टिवेट कैसे होगा,, Last word verb missing
how cannot transfer money, हाउ कान नोट ट्रांसफ़र मनी,, Similar Sounding Word Predicted
balance, बैलेंस,, No mistake
Mera cashback Nahin ho raha hai iska Uttar Kyon Nahin de rahe, मेरा कैशबैक नहीं हो रहा है इसको नहीं दे,, Random Prediction
Kumkum Bhagya, सुग्,, Random Prediction
main call nahin kar pa raha hun, मैं कॉल नहीं कर पा रहा हूँ,, No mistake
hello tune, हेलो ट्यून,, No mistake
donon per, 29  वर,, Random Prediction
Mujhe prepaid to postpaid convert karna hai sirf procedure batao, मुझे प्रीपेड से पोस्टपेड कनवर्ट करना है सर को सीजर बताओ,, Doesnt pick up English
new plans, ने प्लान्स,, Doesnt pick up English
Mujhe prepaid to postpaid convert karna hai sirf procedure batao, मुझे प्रीपेड से पोस्टपेड कनवर्ट करना है सर को सीजर बताओ,, Random Prediction
data balance, डाटा बैले,, Incorrect Single Word Prediction
